study to test: study_12093_GPL96_all-bmc15
mike_notrea:      0.3936651583710407 0.8604651162790697 0.2808988764044944
mike_notrea_svm:  0.46153846153846156 0.7674418604651163 0.38764044943820225
mike_notrea_logi: 0.3891402714932127 0.8372093023255814 0.2808988764044944

trea:             0.19457013574660634 1.0 0.0
trea_svm:         0.19457013574660634 1.0 0.0
trea_logi:        0.19457013574660634 1.0 0.0



study to test: study_25065_GPL96_MDACC-bmc15
full:             0.28169014084507044 0.8333333333333334 0.1694915254237288
full_notrea:      0.28169014084507044 0.8333333333333334 0.1694915254237288

mike:             0.6619718309859155 0.25 0.7457627118644068
mike_svm:         0.7746478873239436 0.0 0.9322033898305084
mike_logi:        0.5492957746478874 0.4166666666666667 0.576271186440678
mike_notrea:      0.6619718309859155 0.25 0.7457627118644068
mike_notrea_svm:  0.7746478873239436 0.0 0.9322033898305084
mike_notrea_logi: 0.6338028169014085 0.4166666666666667 0.6779661016949152

trea:             0.8309859154929577 0.0 1.0
trea_svm:         0.8309859154929577 0.0 1.0
trea_logi:        0.8309859154929577 0.0 1.0



study to test: study_25065_GPL96_USO-bmc15
full:             0.6481481481481481 0.5 0.6818181818181818
full_notrea:      0.6481481481481481 0.5 0.6818181818181818

mike:             0.7777777777777778 0.1 0.9318181818181818
mike_svm:         0.7777777777777778 0.0 0.9545454545454546
mike_logi:        0.48148148148148145 0.2 0.5454545454545454
mike_notrea:      0.7777777777777778 0.1 0.9318181818181818
mike_notrea_svm:  0.7777777777777778 0.0 0.9545454545454546
mike_notrea_logi: 0.5185185185185185 0.1 0.6136363636363636

trea:             0.8148148148148148 0.0 1.0
trea_svm:         0.8148148148148148 0.0 1.0
trea_logi:        0.8148148148148148 0.0 1.0



study to test: study_32646_GPL570_all-bmc15
full:             0.7304347826086957 0.9325842696629213 0.038461538461538464
full_notrea:      0.7304347826086957 0.9325842696629213 0.038461538461538464

mike:             0.43478260869565216 0.33707865168539325 0.7692307692307693
mike_svm:         0.22608695652173913 0.0 1.0
mike_logi:        0.48695652173913045 0.449438202247191 0.6153846153846154
mike_notrea:      0.43478260869565216 0.33707865168539325 0.7692307692307693
mike_notrea_svm:  0.22608695652173913 0.0 1.0
mike_notrea_logi: 0.48695652173913045 0.43820224719101125 0.6538461538461539

trea:             0.22608695652173913 0.0 1.0
trea_svm:         0.22608695652173913 0.0 1.0
trea_logi:        0.22608695652173913 0.0 1.0



study to test: study_9893_GPL5049_all-bmc15
full:             0.31756756756756754 0.7692307692307693 0.07291666666666667
full_notrea:      0.31756756756756754 0.7692307692307693 0.07291666666666667

mike:             0.41216216216216217 0.4423076923076923 0.3958333333333333
mike_svm:         0.6959459459459459 0.36538461538461536 0.875
mike_logi:        0.6824324324324325 0.40384615384615385 0.8333333333333334
mike_notrea:      0.41216216216216217 0.4423076923076923 0.3958333333333333
mike_notrea_svm:  0.6959459459459459 0.36538461538461536 0.875
mike_notrea_logi: 0.6959459459459459 0.46153846153846156 0.8229166666666666

trea:             0.6486486486486487 0.0 1.0
trea_svm:         0.6486486486486487 0.0 1.0
trea_logi:        0.6486486486486487 0.0 1.0



