symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
BSN,0.09823424275678573,3.626296682206098,2.750110449785747,0.006124497801258289,0.03378984181356001,-2.592366932136211
PPEF1,-0.18738780965094035,3.4905319901073946,-2.7500738425963522,0.0061251739972270815,0.03378984181356001,-2.5924625817803437
NNAT,0.1450895863234631,4.490985934711968,2.749789940073152,0.006130420439798136,0.03379767373551632,-2.593204338563815
ESPL1,-0.18293874665480275,4.530586635986194,-2.749266364433515,0.006140106617257533,0.0338299573572168,-2.594572097233078
FAM98A,-0.1980907986239528,7.514692982055953,-2.7487423929636066,0.00614981394577458,0.033862317187706416,-2.595940635478423
CTBP2,-0.2801779111045597,7.550036718959159,-2.7474096481906614,0.006174567426755407,0.03397743271844471,-2.5994204262257785
SEPHS2,-0.218067295413207,8.416202137610473,-2.7464308540455136,0.006192804108326489,0.03403703565746625,-2.6019750044651477
SPA17,0.224270497298683,4.934178539302557,2.746269576671456,0.006195813653984842,0.03403703565746625,-2.602395840890831
JRKL,0.2492551850984969,4.658826167726169,2.746208148299244,0.00619696029633217,0.03403703565746625,-2.60255612545515
PLA2G2D,0.17814411239467812,3.4896874848586656,2.745444954690831,0.006211222300235414,0.03409416740564275,-2.6045472286868194
APEX1,-0.18961121855071522,8.499298559268869,-2.744395103624379,0.0062308895486140265,0.0341808798095398,-2.6072853128127322
DUOX1,-0.19158699946551713,3.466745957939815,-2.7440355961024117,0.006237637241590263,0.03419665556655817,-2.608222698343829
CDH4,0.09471073439645711,3.0657518460221462,2.7431093868800533,0.0062550518984753715,0.034270855066584664,-2.6106371585800097
INTS6,-0.19194444097172272,5.909055238460036,-2.742420055966359,0.006268041213297425,0.03432073155352936,-2.612433603450974
LANCL2,-0.19497647788845734,5.37492382994615,-2.7418156535676275,0.006279450208372216,0.034345914654911804,-2.614008356057392
PMP22,0.2906582459216204,8.487552967197665,2.7417644271339228,0.006280418044348116,0.034345914654911804,-2.6141418094444933
AGXT,0.10587880091044422,3.0132003966557286,2.7412829782307293,0.006289520777802525,0.03437301571365166,-2.6153959450616107
SLC43A1,0.19011507025351818,4.378040079527309,2.741090809374056,0.006293157428552392,0.03437301571365166,-2.615896469429935
FGD6,0.20794979727736151,3.985118748630233,2.740830821261644,0.006298080527094716,0.03437864475605719,-2.616573581801798
SERPINB5,0.44455427340850956,4.539567614516914,2.7401430536765026,0.0063111207558192205,0.03442854756973154,-2.6183644996673068
CXADR,-0.3723407653190346,7.614933345419205,-2.739890634841605,0.006315912780913187,0.03443342079075634,-2.619021677646936
RRN3,0.20197166367426836,6.144478398644034,2.739618641377739,0.00632108009295002,0.03444033274579554,-2.6197297524587606
PEX7,-0.20190326052069804,6.14937099786557,-2.7372515654592924,0.006366210899085567,0.03466484257751155,-2.6258890140567206
ASPM,-0.36342128959472325,5.987976201435075,-2.7364622252266977,0.0063813249993133,0.034725731604396216,-2.6279417652848474
CPB2,0.14552543935587722,2.62311843543748,2.73601484195329,0.006389905751293643,0.034751014529202866,-2.6291049696729485
CHKB,-0.29788793927839147,5.423433592863331,-2.735143541976424,0.0064066470448601595,0.03481708073047955,-2.631369832092777
DENND4A,-0.1361348390843039,3.5329940422526565,-2.734846920489811,0.006412355395586424,0.03481708073047955,-2.6321407111082102
YWHAZ,-0.3431042927870517,8.341738679473677,-2.7347661795459155,0.006413910013744304,0.03481708073047955,-2.6323505317402356
DGUOK,-0.16134972937942696,5.135396797074971,-2.7343141314934436,0.0064226202068394574,0.03481708073047955,-2.6335251525042254
SLC6A4,0.2823164328490174,3.6450798216439835,2.7343004350675364,0.0064228842799682875,0.03481708073047955,-2.633560738917553
TSNAX,-0.2023580860385115,7.880711319184389,-2.7341540789494228,0.006425706701843486,0.03481708073047955,-2.6339409943618244
GTF2F1,0.1755093604969801,5.38411139256752,2.733426910736479,0.006439746454064419,0.0348717600749828,-2.6358299933216407
DYNC2LI1,0.2205789317673084,6.336976197621517,2.7328784681646603,0.006450353765994664,0.034907796851265244,-2.637254383827966
PPP6C,-0.2245690798544619,6.796071721689163,-2.7312575115407607,0.006481796504373242,0.03505647686872288,-2.6414626288340655
RIC3,0.12374903007489144,3.3528984060593183,2.730148270626355,0.006503392735848617,0.035143329464196044,-2.6443409789069334
PDZRN3,0.29082853076344506,5.942219773018878,2.73002414742295,0.0065058133688814,0.035143329464196044,-2.644662993052928
GRIA1,0.1833410543309651,3.396339218439822,2.728780298313345,0.006530115631734283,0.03525304477963154,-2.6478891347558573
APBA1,0.11761242283507055,3.418012865761494,2.7257121193871376,0.006590411843270196,0.03554224321558341,-2.6558408600934618
CYP2F1,0.06075340867121689,2.954679258779244,2.7256451269738036,0.006591733965933608,0.03554224321558341,-2.656014385284555
C16orf59,-0.10313519077046596,3.186274714960503,-2.7252348351981914,0.006599836458735708,0.03555831035412179,-2.6570770410301043
EMD,0.14984238571805972,5.966650244344206,2.7250668714837873,0.006603156015751411,0.03555831035412179,-2.657512022012544
LRP2BP,-0.10107931386413106,3.1024212721234856,-2.72478505036106,0.006608729178701639,0.03555831035412179,-2.658241804348604
TRIM23,-0.16599968994073516,3.971670549864419,-2.7246794731291284,0.006610818116108241,0.03555831035412179,-2.6585151800662294
HMGN3,0.19022913354026355,8.837317719030445,2.7243589100267296,0.006617164383121592,0.03557078261213019,-2.6593451646743125
