symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
MYH11,0.5677181972570187,5.812018183896694,4.99657285793093,7.519914159424347e-7,1.209668950128089e-4,5.561467987947391
GSK3B,-0.3247211146947842,6.23150314424362,-4.978399500726231,8.232581501931956e-7,1.280166423550419e-4,5.477437072085723
UBE2C,-0.5665952835536702,7.1227182629842085,-4.949641057301251,9.495363542898306e-7,1.3708081277075652e-4,5.345040132997759
XPOT,-0.378563338359192,8.033341995356928,-4.942704812263591,9.826827389701502e-7,1.3708081277075652e-4,5.3132134248622895
DCTN2,-0.27112367968401824,7.920654789676653,-4.941183046929517,9.901027500859763e-7,1.3708081277075652e-4,5.30623637849282
STC2,0.9515037519955536,6.358605553740588,4.939354837967121,9.990884532059423e-7,1.3708081277075652e-4,5.2978569642705535
SFRP1,1.0125247814226706,6.1585032041696826,4.9191103902947555,1.1039995555580525e-6,1.4714736933366614e-4,5.205260238855563
CLUAP1,0.3616661842186195,5.754992539616213,4.9034343000054355,1.1924578877918416e-6,1.536848618892051e-4,5.133800569220484
CDKN1C,0.5398085951487365,5.298205827237422,4.8989596753984035,1.2189367395285291e-6,1.536848618892051e-4,5.113441659793398
CCNB1,-0.5729757621417553,5.868457134217483,-4.863465861057373,1.450022749227537e-6,1.7800937171438052e-4,4.952559664643474
PNRC1,0.3390404859343426,7.205010068264038,4.855134642802441,1.510091288608283e-6,1.8063015029122154e-4,4.914954017657812
PTN,0.7853344664598964,5.781116759570886,4.837073319315011,1.6486587865715636e-6,1.9227483098390862e-4,4.833633663114264
ATP5I,-0.3557617883586391,9.300474867497758,-4.831123884405461,1.6969277497977741e-6,1.930772671416248e-4,4.8069081254272
RFC4,-0.43741080776085794,6.338146816650945,-4.825264451624595,1.745795543281699e-6,1.9390800498593155e-4,4.78061671189588
DTL,-0.5270011506305231,6.050395288415361,-4.809590637785871,1.8832703240625716e-6,2.0431293166864876e-4,4.710433475904771
FAM49B,-0.3716846259298668,7.645236789318411,-4.792332741565859,2.046692044765433e-6,2.1127696383645538e-4,4.633402351153676
DUSP14,-0.33973847277394703,6.034355601597608,-4.792064975954495,2.0493321409888438e-6,2.1127696383645538e-4,4.632209197325392
TRIM29,0.7013445014207009,5.172013418308669,4.7886460595220255,2.083331261838574e-6,2.1127696383645538e-4,4.616980072951063
ABCC5,-0.5601962668221003,5.443141201541728,-4.780101186235082,2.1706962930440896e-6,2.145104352863291e-4,4.578962185212082
LAGE3,-0.4463447220607235,7.039105851691184,-4.7766303253032145,2.207181327704994e-6,2.145104352863291e-4,4.563537632410452
CTSO,0.38260782696273354,7.679009117685352,4.770746938026184,2.27037864180007e-6,2.1614931355096582e-4,4.537415561915952
SMS,-0.4023397429190859,8.128435634320745,-4.759697354694203,2.3938074847895176e-6,2.181577346204192e-4,4.488436606262176
HIST3H2A,-0.5135233464630767,7.266753611013416,-4.755269755484302,2.445056481442952e-6,2.181577346204192e-4,4.468840231590755
ORMDL2,-0.40925968211317737,7.530117241171655,-4.753129366180809,2.4702082278598646e-6,2.181577346204192e-4,4.459373035610608
FADD,-0.37551044095521624,6.695791900007753,-4.752425489862597,2.4785337480990818e-6,2.181577346204192e-4,4.45626057309413
VPS39,0.23813890702371954,7.092408713969735,4.7295209096538935,2.76467502084609e-6,2.314723099410371e-4,4.355213072428088
NTRK2,0.8153951458359712,5.270289523550125,4.727692542920811,2.788837783569098e-6,2.314723099410371e-4,4.347166493741228
ADRA2A,0.5259248495957305,5.603264665991424,4.7246788547859735,2.8291090835187524e-6,2.314723099410371e-4,4.333909676301981
ATP5E,-0.28846604682854016,11.080568754151312,-4.719963163568155,2.893248361319659e-6,2.314723099410371e-4,4.31318175908651
MRPL17,-0.26536165722485633,8.079863719207369,-4.714682445549542,2.966732426862401e-6,2.314723099410371e-4,4.289993124301785
DRG1,-0.28360533587918785,8.025484909653358,-4.713989852458534,2.9765023491910743e-6,2.314723099410371e-4,4.286953609207454
CBX3,-0.40961805383882083,7.754749762305932,-4.713945021055474,2.9771358191773258e-6,2.314723099410371e-4,4.286756876369657
FAS,0.47882570536799707,5.827528946457018,4.696376473404917,3.2356193170190973e-6,2.474453133425261e-4,4.209795264463682
BIRC5,-0.5981295816941132,5.35209342115912,-4.688290952981998,3.361705608823967e-6,2.529412365349001e-4,4.174465395479841
CCT3,-0.3320549047212574,9.533754704282732,-4.6767349413113175,3.5501388075096343e-6,2.62879325984642e-4,4.124069611905235
AZIN1,-0.368902165826967,8.027639607071727,-4.670164132423775,3.661767128853251e-6,2.64837505250603e-4,4.09546600165575
CYC1,-0.4535830234329443,7.9364194648091715,-4.668525506749598,3.690126010994468e-6,2.64837505250603e-4,4.088338685270712
CCNB2,-0.5424399414873562,6.410649075883035,-4.664092320093909,3.7679107542659033e-6,2.6632278285834e-4,4.069067920176811
SNRPC,-0.29658599600745017,7.041956918168458,-4.657894569221852,3.879301960944995e-6,2.701036365344537e-4,4.042155329347884
EFNA3,-0.3393962896586629,6.2146681158575054,-4.651624895395076,3.995201505037372e-6,2.740825738382256e-4,4.014964384396079
PTGER3,0.6768502730266784,5.407380107287351,4.631877322977592,4.382391505449921e-6,2.962877735206359e-4,3.9295444561232715
